title,artist,bpm,energy,danceability,loudness,valence,acousticness,speechiness,instrumentalness
Breathe,Faith Hill,0.525186342017463,0.4378629500580721,0.4425587467362925,0.5297993045812238,0.23881912315487996,0.1811076722985585,0.011217282924802667,0.0
Smooth,Santana,0.37708525590970393,0.9337979094076656,0.5469973890339426,0.8408467028609773,0.9911874862304473,0.16749437273318932,0.021188201080182795,5.113513513513513e-06
Smooth,Rob Thomas,0.37699297224391287,0.6016260162601627,0.5221932114882506,0.5197950344659307,0.7301167658074466,0.002302218391881866,0.013502285002077272,0.8724324324324324
Maria Maria,Santana,0.2487044793071626,0.5598141695702671,0.7663185378590078,0.7174403708900141,0.6816479400749065,0.0424614521097211,0.21271292064810965,0.0021729729729729726
I Wanna Know,Joe,0.5196990132746504,0.4274099883855982,0.6984334203655352,0.7157323247727689,0.5924212381581846,0.272212061697568,0.027420024927295394,1.1783783783783783e-05
Everything You Want,Vertical Horizon,0.22020302406474052,0.745644599303136,0.5822454308093995,0.6895016165436467,0.7433355364617757,0.05408511558476715,0.014540922309929372,0.0
I Knew I Loved You,Savage Garden,0.15727266273869528,0.4390243902439025,0.5483028720626631,0.4765448667114013,0.746640229125358,0.3350426750761953,0.008932280847528049,6.605405405405404e-05
Amazed,Lonestar,0.5460850429473982,0.49245063879210227,0.4843342036553526,0.5608491429268592,0.20026437541308661,0.272212061697568,0.01828001661819692,0.0
Bent,Matchbox Twenty,0.23136224888194795,0.8257839721254356,0.42819843342036557,0.6635759165497469,0.5131086142322099,0.042252016731792345,0.031159119235562943,4.162162162162162e-06
He Wasn't Man Enough,Toni Braxton,0.17841272094839217,0.9616724738675957,0.7167101827676241,0.962361983773562,0.7763824630975986,0.009538210699320435,0.03635230577482343,3.394594594594594e-05
Higher,Creed,0.6598353091502804,0.8257839721254356,0.3511749347258486,0.6977368388946503,0.40735844899757656,0.0,0.02658911508101372,0.00015135135135135131
Try Again,Aaliyah,0.2142187832753602,0.6306620209059234,0.7885117493472587,0.7795400475812848,0.6849526327384887,0.08256832698307816,0.4682176983797258,0.0
Thong Song,Sisqó,0.41650457868957197,0.8931475029036005,0.6736292428198434,0.6547306777282987,0.7191011235955056,0.12456012025779402,0.08683007893643539,0.0001042162162162162
Kryptonite,3 Doors Down,0.2564988996947541,0.8664343786295006,0.4634464751958225,0.7310437381809309,0.5307336417713153,0.006899324937418092,0.010386373078520986,1.189189189189189e-05
There You Go,Pink,0.6631078299141053,0.8966318234610917,0.06788511749347259,0.9139266760202526,0.49988984357788063,0.005799789203292115,0.042999584545076866,0.2324324324324324
Music,Madonna,0.40447220841910986,0.7932636469221835,0.7127937336814621,0.5590800951625695,0.8920467063229787,0.001506363955752588,0.08869962609056918,0.09470270270270269
What a Girl Wants,Christina Aguilera,0.5626535103286718,0.8130081300813009,0.7362924281984334,0.662416885255902,0.8336638025996916,0.07157296964181839,0.18363107602825096,0.0
Back at One,Brian McKnight,0.47473557180379083,0.2636469221835075,0.6148825065274153,0.523211126700421,0.21458471028860987,0.47327002450917516,0.013294557540506853,0.0
Bye Bye Bye,NSYNC,0.7791722865052886,0.9372822299651569,0.5483028720626631,0.7838101628743976,0.8810310641110377,0.032408553969140746,0.050477773161611963,0.001297297297297297
You Sang to Me,Marc Anthony,0.7319088521331725,0.9001161440185832,0.5065274151436031,0.7486122125297383,0.7488433575677462,0.010731992353514352,0.012463647694225179,2.875675675675675e-06
I Need to Know,Marc Anthony,0.3704479307162633,0.9639953542392568,0.8133159268929506,0.9228939181357897,0.8050231328486452,0.5088740387570639,0.020772746157041957,1.054054054054054e-05
Get It On Tonite,Montell Jordan,0.25644210974657494,0.4401858304297329,0.8054830287206267,0.47471481730006715,0.8766248072262612,0.2711648848079242,0.10801828001661821,3.286486486486486e-05
Incomplete,Sisqó,0.4006175906864486,0.37630662020905925,0.7258485639686685,0.6099554687976576,0.23220973782771542,0.2952499532697313,0.1111341919401745,0.0
I Try,Macy Gray,0.09602470362745802,0.6074332171893148,0.5261096605744126,0.6349051424388459,0.7433355364617757,0.3277124368486887,0.013086830078936434,0.000629189189189081
It's Gonna Be Me,'N Sync,0.13925605167885285,0.41927990708478513,0.8093994778067886,0.3200146403952908,0.6728354263053538,0.019632995915486545,0.23764021603656005,1.7081081081081076e-05
Country Grammar (Hot Shit),Nelly,0.7095549087811457,0.6329849012775842,0.8812010443864231,0.6630879033733912,0.5549680546375855,0.007161119159829039,0.17532197756543416,0.0
Bring It All to Me,Blaque,0.18514232980762396,0.5342624854819976,0.6592689295039166,0.7702067955834808,0.7323198942498348,0.00044766812032271904,0.018487744079767346,0.0
Show Me the Meaning of Being Lonely,Backstreet Boys,0.7462341165613686,0.5876887340301975,0.5744125326370758,0.7688647593485025,0.6849526327384887,0.2418439318978982,0.0033236393851267185,0.0
Hot Boyz,Missy Elliott,0.12954497054021435,0.3786295005807201,0.7010443864229765,0.39352162508387734,0.5131086142322099,0.3549390359794272,0.5554632322393019,0.0
Back Here,BBMak,0.2973947611272804,0.9593495934959348,0.566579634464752,0.889587018849509,0.939413967834325,0.0730390172873197,0.022226838388034895,4.9405405405405405e-06
It Feels So Good,Sonique,0.5120749627315966,0.6480836236933799,0.5796344647519582,0.6352711523211128,0.5472571050892268,0.012198039999015656,0.014125467386788534,0.0011135135135135134
Absolutely (Story of a Girl),Nine Days,0.23863846099240432,0.9535423925667827,0.3798955613577023,0.7617885682913439,0.6596166556510246,0.0008791049988559593,0.08807644370585792,0.0
With Arms Wide Open,Creed,0.5393341378575993,0.4878048780487806,0.28720626631853785,0.5660952845726834,0.08790482485128884,0.004396572171169441,0.013710012463647697,0.000962162162162162
Be with You,Enrique Iglesias,0.41967771704408313,0.867595818815331,0.643603133159269,0.7476361861770269,0.5296320775501213,0.041309557531112935,0.01931865392604902,0.0017405405405405403
Come On Over Baby (All I Want Is You),Christina Aguilera,0.3977213033293107,0.9245063879210222,0.8342036553524805,0.8837308607332398,0.7907027979731218,0.23660804744967925,0.17116742833402576,1.3513513513513512e-05
No More,Ruff Endz,0.242265918932349,0.6062717770034843,0.8472584856396868,0.7334228024156653,0.9537343027098482,0.03387460161464205,0.129206481096801,4.929729729729729e-06
All the Small Things,Blink 182,0.6094271313977426,0.9036004645760745,0.31853785900783294,0.7792350393460624,0.686054196959683,0.010731992353514352,0.05234732031574575,0.0
The Way You Love Me,Faith Hill,0.2776602541350181,0.6933797909407665,0.5704960835509139,0.6415543219666932,0.7411324080193875,0.13293753537494432,0.024096385542168683,0.0
I Turn to You,Christina Aguilera,0.4564563072336197,0.4076655052264808,0.5339425587467362,0.5695113768071739,0.2608504075787619,0.3978732884548225,0.029081844619858757,0.0
Never Let You Go,Third Eye Blind,0.36121246539362534,0.9535423925667827,0.7023498694516972,0.7721588482889039,0.997796871557612,0.08518626920718762,0.027420024927295394,0.00017513513513502698
I Need You,LeAnn Rimes,0.5808830836941863,0.7166085946573751,0.37597911227154046,0.6446654059659611,0.5538664904163915,0.02088960818305909,0.027212297465724983,0.00010356756756756755
Thank God I Found You,Mariah Carey,0.4715056435011003,0.47967479674796754,0.20626631853785898,0.7204294515951932,0.0956157743996475,0.6198747890593054,0.019734108849189858,0.0
Let's Get Married,Jagged Edge,0.24086746645843687,0.4332171893147503,0.674934725848564,0.3622277801500642,0.6408900638907249,0.22090039410502244,0.037806398005816366,0.0
My Love Is Your Love,Whitney Houston,0.13938382906225594,0.41347270615563303,0.7571801566579635,0.49899347282376627,0.45362414628772857,0.0586926938991998,0.28126298296634816,5.102702702702701e-06
Then the Morning Comes,Smash Mouth,0.3954284091715767,0.8850174216027875,0.7036553524804178,0.7727688647593486,0.9933906146728355,0.024135856540954827,0.009763190693809723,0.0
Blue (Da Ba Dee),Eiffel 65,0.4623482643572088,0.9872241579558654,0.8250652741514362,0.37949124626364916,0.7752808988764046,0.2711648848079242,0.0718737017033652,0.00016540540540540538
Desert Rose,Sting,0.3486689855895507,0.62137049941928,0.5052219321148825,0.5973281278594522,0.07578761841815379,0.014920699912089502,0.017656834233485658,0.0
Desert Rose,Cheb Mami,0.3699794136437851,0.718931475029036,0.503916449086162,0.5210760690538645,0.37100682969817145,0.23451369367039168,0.022226838388034895,1.9135135135135133e-05
The Real Slim Shady,Eminem,0.2955064953503231,0.629500580720093,0.9908616187989556,0.8203501494540353,0.7697730777704341,0.03157081245742572,0.069796427087661,0.0
Wifey,Next,0.26058067722013206,0.6898954703832753,0.8368146214099219,0.654242664551943,0.6849526327384887,0.07094466350803212,0.16701287910261736,0.0
Wonderful,Everclear,0.8794562362461844,0.8106852497096401,0.42297650130548303,0.6834014518391998,0.7411324080193875,0.012302757687980033,0.05484004985459079,8.918918918918919e-06
Oops!... I Did It Again,Britney Spears,0.22841627032015338,0.8304297328687572,0.7323759791122716,0.747148173000671,0.9173826834104428,0.3140991372833195,0.041753219775654354,1.9135135135135133e-05
I Wanna Love You Forever,Jessica Simpson,0.29222687584297585,0.6353077816492452,0.5221932114882506,0.832367473921796,0.014430491297642664,0.16330566517461415,0.0016618196925633627,0.0
Give Me Just One Night (Una Noche),98 Degrees,0.4312841627032015,0.7793263646922184,0.4608355091383812,0.7043860184224975,0.6541088345450541,0.05366624482890962,0.052970502700457,3.837837837837837e-06
Take a Picture,Filter,0.256335628593739,0.7630662020905924,0.45822454308094007,0.5886658939791376,0.24322538003965632,0.001485420417959712,0.012879102617366016,0.00023891891891881077
Otherside,Red Hot Chili Peppers,0.4284304678071981,0.7851335656213706,0.349869451697128,0.8800707619105717,0.4976867151354925,0.0032551493614577124,0.07021188201080183,0.00021837837837837835
Big Pimpin',Jay-Z,0.5338752040888763,0.8072009291521488,0.9007832898172325,0.6945037516012933,0.9702577660277596,0.1758717878503396,0.24179476526796845,0.007264864864864864
Purest of Pain (A Puro Dolor),Son by Four,0.50565769858735,0.9523809523809523,0.5261096605744126,0.8699444885011896,0.7510464860101345,0.4711756707298876,0.07893643539675947,1.4378378378378375e-05
He Can't Love U,Jagged Edge,0.45008163555050756,0.8327526132404182,0.6932114882506527,0.8369425974501312,0.4921788940295219,0.11722988203028752,0.37889488990444536,0.0
Separated,Avant,0.3220344998935189,0.41927990708478513,0.7937336814621412,0.7398279753553347,0.6408900638907249,0.2585987621321988,0.008309098462816786,0.0
I Wish,Carl Thomas,0.19129694044154183,0.6353077816492452,0.7127937336814621,0.7785640212285732,0.1793346552103988,0.06204365994605992,0.020980473618612383,4.129729729729729e-05
U Know What's Up,Donell Jones,0.28505714488535533,0.49245063879210227,0.8668407310704962,0.7031049838345635,0.8887420136593964,0.04204258135386359,0.12629829663481512,6.194594594594593e-05
Faded,soulDecision,0.32014623411656135,0.7003484320557491,0.6566579634464753,0.6896236198377357,0.9900859220092533,0.25545723146326743,0.03842958039052763,0.0
Only God Knows Why,Kid Rock,0.47081706537942775,0.7317073170731707,0.5718015665796345,0.7632526078204112,0.274069178233091,0.059530435410914836,0.013294557540506853,0.002205405405405405
