title,artist,bpm,energy,danceability,loudness,valence,acousticness,speechiness,instrumentalness
I Wish,Carl Thomas,89.824,0.666,0.736,-4.929,0.224,0.0593,0.0337,3.82e-05
U Know What's Up,Donell Jones,103.032,0.543,0.854,-6.166,0.868,0.0402,0.0844,5.73e-05
Faded,soulDecision,107.975,0.722,0.6930000000000001,-6.3870000000000005,0.96,0.244,0.0421,0.0
Only God Knows Why,Kid Rock,129.2,0.749,0.628,-5.18,0.31,0.0569,0.03,0.00204
Shake Ya Ass,Mystikal,98.054,0.607,0.914,-5.658,0.666,0.0626,0.32,0.0
Bag Lady,Erykah Badu,151.181,0.416,0.724,-8.964,0.578,0.365,0.0841,0.0
Meet Virginia,Train,90.02,0.553,0.675,-7.775,0.594,0.0863,0.0486,7.58e-06
Party Up (Up in Here),DMX,100.979,0.834,0.736,-3.052,0.234,0.077,0.0969,0.0
Case of the Ex (Whatcha Gonna Do),Mýa,98.001,0.684,0.774,-4.721,0.354,0.0687,0.0408,9.34e-05
Forgot About Dre,Dr. Dre,133.974,0.74,0.924,-1.299,0.621,0.0827,0.0774,0.0
Swear It Again,Westlife,130.071,0.532,0.626,-7.205,0.33,0.296,0.0275,0.0
The Next Episode,Dr. Dre,95.295,0.909,0.922,-2.429,0.309,0.0281,0.27,0.0
From the Bottom of My Broken Heart,Britney Spears,74.981,0.665,0.677,-5.171,0.706,0.56,0.0305,1.01e-06
Crash and Burn,Savage Garden,102.03,0.607,0.581,-8.458,0.213,0.189,0.028,1.6e-06
Yes!,Chad Brock,126.547,0.623,0.674,-5.97,0.452,0.00408,0.0283,5.61e-05
The Best Day,George Strait,132.336,0.49,0.647,-5.044,0.298,0.676,0.0288,0.0
Where I Wanna Be,Donell Jones,102.053,0.396,0.664,-9.131,0.453,0.52,0.0298,0.0
How Do You Like Me Now?!,Toby Keith,109.609,0.667,0.648,-8.986,0.669,0.0534,0.0311,6.9400000000000005e-06
My Best Friend,Tim McGraw,147.715,0.484,0.444,-8.311,0.263,0.12,0.0289,0.0
Broadway,Goo Goo Dolls,132.791,0.878,0.527,-5.704,0.757,0.0005549999999999,0.0424,0.0
Don't Think I'm Not,Kandi,134.007,0.622,0.859,-8.196,0.433,0.0661,0.0445,0.0
I Hope You Dance,Lee Ann Womack,151.278,0.443,0.385,-9.627,0.275,0.0632,0.0295,0.0
Better Off Alone,Alice Deejay,136.955,0.882,0.671,-6.149,0.787,0.00181,0.0552,0.667
Dance with Me,Debelah Morgan,115.005,0.674,0.85,-7.981,0.74,0.309,0.0373,0.000645
What About Now,Lonestar,125.878,0.8190000000000001,0.663,-7.464,0.73,0.147,0.0335,0.0
I Like It,Sammie,129.963,0.656,0.8260000000000001,-8.529,0.852,0.0101,0.0617,0.000113
24/7,Kevon Edmonds,116.047,0.627,0.6960000000000001,-5.629,0.322,0.0685,0.0334,0.0
Girl on TV,LFO,96.043,0.716,0.6880000000000001,-4.001,0.352,0.131,0.0297,0.0
I Don't Wanna,Aaliyah,130.02,0.514,0.707,-7.286,0.687,0.517,0.0355,0.0
Gotta Tell You,Samantha Mumba,109.983,0.75,0.739,-4.513,0.758,0.205,0.0278,0.0
Waiting for Tonight,Jennifer Lopez,125.013,0.945,0.6950000000000001,-6.165,0.84,0.00341,0.0418,0.0727
Shackles (Praise You),Mary Mary,100.46,0.834,0.779,-2.773,0.8,0.0343,0.162,0.0
Hanging by a Moment,Lifehouse,124.557,0.864,0.541,-4.915,0.435,0.00118,0.0357,0.0
Fallin',Alicia Keys,95.986,0.609,0.652,-7.519,0.482,0.263,0.037,0.00101
All for You,Janet Jackson,113.525,0.934,0.753,-3.011,0.73,0.0174,0.0736,0.065
Drops of Jupiter (Tell Me),Train,79.064,0.638,0.481,-5.862,0.497,0.153,0.0276,0.0
I'm Real,Jennifer Lopez,83.46,0.587,0.708,-7.93,0.554,0.273,0.151,0.0
I'm Real,Ja Rule,83.403,0.631,0.7000000000000001,-6.085,0.558,0.401,0.107,0.0
If You're Gone,Matchbox Twenty,109.933,0.659,0.544,-7.191,0.361,0.427,0.0298,1.33e-06
Let Me Blow Ya Mind,Eve,90.032,0.557,0.908,-4.243,0.897,0.242,0.107,0.0
Thank You,Dido,79.984,0.583,0.725,-9.942,0.762,0.3,0.0427,0.0002379999999999
Again,Lenny Kravitz,79.166,0.804,0.55,-5.218,0.789,0.0148,0.0271,4.33e-05
Hit 'Em Up Style (Oops!),Blu Cantrell,89.976,0.773,0.667,-4.983,0.667,0.201,0.0586,0.0
